"a","b"
323,285
261,52
182,309
62,322
116,59
235,103
212,202
147,360
352,84
258,154
16,239
202,136
335,310
326,13
157,215
34,270
210,212
121,221
223,80
178,213
40,36
223,317
90,196
334,57
215,336
20,353
90,137
348,104
231,222
158,79
188,318
89,57
24,32
231,337
166,95
133,160
57,246
277,193
272,175
29,353
324,161
132,78
224,313
174,175
13,281
287,27
216,67
347,349
359,196
221,355
359,311
148,30
324,210
147,121
358,340
6,115
131,81
192,156
348,292
42,306
177,198
232,149
150,161
86,21
115,115
17,306
30,351
234,275
99,346
159,341
272,104
48,323
246,240
23,242
59,51
249,192
289,175
16,53
133,259
61,243
338,88
169,180
94,257
221,288
359,4
225,141
16,128
333,113
261,336
348,54
326,260
224,323
38,351
307,292
278,226
124,247
323,322
323,203
330,245
358,158
